屏声敛息,屏气敛息
拍案惊奇,拍案称奇
完满,齐全
尸骸,死尸
棋逢对手,棋逢对手
花街柳巷,花街柳市
平凡,平常
天造地设,神工鬼斧
文书,通告
排山倒海,铺天盖地
伺候,侍奉
天禀,天资
史书,史籍
生花妙笔,画龙点睛
完整,统统
豁然开朗,豁然贯通
话中带刺,话里带刺
舍本求末,舍本逐末
批注,诠释
取消,讪笑
事倍功半,舍本逐末
瓮中捉鳖,胜券在握
清晰,清澈
妻子,配头
判若云泥,判若天渊
漂泊,飘浮
宛延,曲折
平缓,缓和
枉口嚼舌,枉口诳舌
浩然之气,浩然正气
似乎,彷佛
停留,盘桓
绘声绘色,维妙维肖
五尺之童,五尺童子
同日而语,混为一谈
回心转意,弃旧图新
撒播,散步
亲事,婚事
天道好还,恶有恶报
挥戈反日,挥日阳戈
切理厌心,切理餍心
千虑一得,抛砖引玉
舒徐,舒缓
好佚恶劳,好逸恶劳
活蹦乱跳,活蹦活跳
焕然一新,焕然如新
贫乏,贫穷
爽利,爽气
天从人愿,求仁得仁
唯利是视,惟利是视
守卫,护卫
舒坦,舒心
含义,涵义
夙兴夜寐,夙兴昧旦
违反,违犯
托庇,托福
嘁嘁喳喳,嘁嘁嚓嚓
委派,委用
完好,完美
丧魂落魄,神不守舍
侵扰,骚动
畏怯,畏惧
求亲告友,求亲靠友
问题,题目
庞杂,混乱
平板,死板
寒舍,蓬荜
庞杂,宏伟
芜秽,荒凉
奇特,神奇
慌慌张张,魂不附体
三亲六故,三朋四友
抟心壹志,抟心揖志
欢乐,欢腾
为富不仁,土豪劣绅
巧言令色,甜言蜜语
清词丽句,清辞丽曲
水手,海员
体例,体制
晚节不保,晚节不终
水滴,水点
手段,手法
逃墨,逃禅
取代,替代
天差地别,天悬地隔
平日,通常
无关紧要,无足轻重
好像,宛然
倾肝沥胆,披肝沥胆
桑中之约,桑间之约
私交,私情
天后,破晓
死灭,逝世
完毕,完结
怂恿,煽惑
探寻,探索
委靡,疲劳
申报,申诉
荒淫无度,荒淫无耻
市无二价,童叟无欺
是非,黑白
亨通,顺遂
欢送,送行
声色狗马,身败名裂
欢乐,欢娱
全数,全面
偷鸡摸狗,偷鸡盗狗
寒碜,寒酸
无人之地,无人之境
扫除,袪除
无所顾惮,肆无忌惮
妥当,恰当
丧魂落魄,丧魂失魄
岁月,时期
探口而出,脱口而出
亲善,亲睦
牵强附会,生拉硬扯
侵掠,抢掠
善意,好意
讪谤,诬蔑
全都,统统
痊可,痊愈
商标,牌号
会计,司帐
贫病交加,贫病交迫
势不可当,势不可挡
熟视无睹,视而不见
妄图,妄想
乌黑,漆黑
失期,食言
恩同父母,恩逾慈母
神不收舍,神不守舍
恬逸,舒适
何乐不为,迫不得已
闳意妙指,闳意眇指
土牛木马,土鸡瓦犬
厮混,胡混
和平,和缓
劝止,劝阻
搜索,搜罗
华冠丽服,峨冠博带
围绕,环抱
适合,适当
疏忽,纰漏
欺骗,骗取
婉曲,微辞
无穷,无量
青灯黄卷,黄卷青灯
死亡,物化
握瑜怀玉,文章星斗
天塌地陷,山摇地动
素不相识,素未谋面
吞吐,含糊
商店,市廛
谈古说今,谈笑风生
浅显,浅近
污蔑,诬蔑
三心二意,三翻四复
舒徐,缓慢
弃恶扬善,遏恶扬善
疏落,荒凉
外厉内荏,外强中干
无赖,混混
倏然,瞬间
呵斥,谴责
食古不化,食而不化
千里无烟,荒无人烟
适合,适宜
呵斥,呵责
片言一字,片言只字
杀鸡取卵,涸泽而渔
平滑,滑腻
无声无息,无声无臭
私下,私自
失掉,损失
瓮中捉鳖,瓮中之鳖
儿童,童子
坏处,欠缺
双管齐下,齐头并进
听之任之,听天由命
互助,合作
帷箔不修,帷薄不修
微小,微弱
少顷,顷刻
神态,神情
荒淫无度,穷奢极侈
奢望,奢求
贫弱,贫穷
书牍,书翰
说长道短,说黄道黑
束厄,牵制
欺骗,糊弄
气冲霄汉,气逾霄汉
忽视,纰漏
头目,首领
望秋先零,未老先衰
其应如响,其应若响
事态,时势
请安,问安
望眼欲穿,望穿秋水
纨绔子弟,花花太岁
平步青云,青云直上
汇聚,汇集
身材,身段
停留,停顿
和平,平和
拖累,牵累
货赂公行,贿赂公行
庆祝,庆贺
温存,温文
抬举,提拔
审几度势,审时度势
惋惜,痛惜
亲密,亲昵
首善之区,首善之地
书僮,书童
体会,体味
扑灭,肃清
轻佻,轻薄
排击,排挤
倘佯,徘徊
天理难容,天诛地灭
期望,期许
四季,四序
受罚,受罪
回复,回话
爽直,爽脆
前所未有,前所未闻
势力,权力
轻举妄动,鼠目寸光
同伙,同盟
食不充口,食不糊口
无拘无碍,无拘无缚
穷则思变,穷极思变
刨根究底,刨根问底
事变,事情
识文断字,识文谈字
坏处,缺点
食不甘味,食不遑味
松散,涣散
侮辱,欺负
十年教训,生聚教训
戕害,杀害
挥汗如雨,挥汗成雨
视如寇仇,食肉寝皮
通时达务,通权达变
首丘之情,首丘夙愿
顺水推船,顺水行舟
天塌地陷,天摧地塌
万劫不复,山穷水尽
失败,衰落
问牛知马,闻一知十
生僻,生疏
凄哀,凄惨
奇妙,奇异
说话,谈话
衰弱,微弱
手段,权术
搜求,收罗
塞翁失马,失之东隅
受益匪浅,获益匪浅
贪污腐化,贪赃枉法
活眼活现,活龙活现
毫厘,豪厘
屏弃,汉典
宏愿,洪志
天旋地转,头晕目眩
慌乱,慌忙
区划,区画
失败,退步
前提,条件
是是非非,谁是谁非
为非作歹,为鬼为蜮
无所忌惮,无所畏惮
通盘,全面
深奥,深沉
为所欲为,胡作非为
亲切,亲热
杀鸡吓猴,杀鸡骇猴
含义,含意
围绕,盘绕
书信,书函
团圆,团聚
失信,爽约
死灭,亡故
情义,情意
首脑,首长
求教,请教
杀人如草,杀人如蒿
爽直,爽快
和悦,和蔼
三言两语,片纸只字
囚首垢面,蓬头垢面
手忙脚乱,束手无策
望风而逃,闻风而逃
天井,庭院
同宗,同族
恩典,恩泽
停止,松手
无忧无虑,无牵无挂
惟妙惟肖,维妙维肖
惟利是图,惟利是趋
穷奢极欲,花天酒地
事危累卵,危如累卵
怀恋,思念
上古,太古
火烈,火热
突然,瞬间
无动于中,无动于衷
鼠肚鸡肠,鼠腹鸡肠
少私寡欲,清心寡欲
还淳反朴,还醇返朴
品行,品质
树范,示范
神怪,荒诞
尸骸,尸骨
妻子,太太
牵挂,牵记
推襟送抱,送抱推襟
四海为家,无家可归
投递,送达
猴头猴脑,虎头虎脑
强抢,抢夺
天禀,天赋
书柜,书橱
书牍,翰札
切脉,评脉
亲切,亲近
时机,火候
威严,稳重
说长道短,说长论短
怀疑,狐疑
徒然,忽地
突然,刹那
上当,受骗
委弃,抛弃
河清海宴,河清海晏
史册,史籍
俗语,俗谚
披坚执锐,荷枪实弹
私事,私务
世界,寰宇
乞求,请求
去伪存真,沙里淘金
善人,好人
轻佻,轻浮
推度,推想
欢快,欢畅
凄楚,凄苦
完全,无缺
问候,问好
倾泄,倾注
劈头,匹面
黔首,黔黎
骇人听闻,骇人闻见
坏蛋,恶汉
清风亮节,清风高节
团结,配合
去本就末,去本趋末
灰身粉骨,灰躯糜骨
停止,撒手
无关紧要,无关大局
怀念,怀想
委派,托付
亭台楼阁,琼楼玉宇
疏松,蓬松
水米无交,水米无干
三番两次,三番五次
推己及人,身临其境
平时,普通
去暗投明,弃暗投明
托辞,饰辞
讨教,请示
唾地成文,脱口成章
天花乱坠,花言巧语
事故,事情
浑然天成,混然天成
评头论脚,评头论足
闪动,闪烁
偏私,偏袒
巧言令色,巧舌如簧
惟妙惟肖,唯妙唯肖
遣意,遣词
横眉怒目,横眉竖眼
娓娓动听,娓娓而谈
聘用,聘请
文雅,漂后
物色,索求
匍匐,爬行
舍弃,抛弃
气派,魄力
声色狗马,声色犬马
清楚,清爽
唾手,随手
漂荡,飘舞
铁案如山,铁证如山
深更半夜,黑更半夜
合营,合作
轻徭薄税,轻赋薄敛
火上加油,火上浇油
讨价,还价
无味,无聊
气候,气象
含苞欲放,含苞待放
前方,火线
搔头弄姿,搔首弄姿
火烧眉毛,迫不及待
收缩,退缩
痛心,酸心
损坏,破格
颓丧,颓落
碎首糜躯,碎首縻躯
和煦,温顺
绘声绘色,绘影绘声
四郊多垒,四面楚歌
破碎,碎裂
生僻,荒僻
匹夫沟渎,匹妇沟渠
回想,回顾
缓解,缓和
疲困,疲惫
其他,其余
黑灯下火,黑灯瞎火
铜城铁壁,铜墙铁壁
勤奋,勤恳
问候,慰问
顽固,顽强
物质,物资
恢弘,无边
申述,申诉
头昏眼花,头昏脑眩
熟寐,熟睡
气冲牛斗,气吞牛斗
排出,排除
全数,全盘
强硬,强项
事故,事件
会晤,会见
强制,强逼
伤害,欺负
特征,特点
品德,品质
受阻,碰壁
收买,收购
无可奈何,无如奈何
噩耗,噩讯
哈腰,弯腰
唯命是听,唯唯诺诺
十拿九稳,探囊取物
书写,誊录
听其自然,听天由命
欺善怕恶,欺软怕硬
疲乏,疲惫
耳鬓厮磨,青梅竹马
凄厉,凄惨
千丝万缕,千头万绪
天气,气象
好像,宛若
通晓,通达
怀珠抱玉,怀珠韫玉
松懈,和缓
无所顾忌,无所畏惮
倾覆,推翻
情孚意合,情投意合
所向无前,所向无敌
童衣,童装
商号,市廛
尸横遍野,饿殍遍野
食不知味,食不遑味
惶惶,惶遽
破钞,花费
无所顾忌,无所畏忌
