屏声敛息,屏气敛息
华侨,华裔
恩威并济,恩威并行
无心,无意
后人,后裔
横眉瞪目,横眉瞪眼
和善可亲,和颜悦色
培修,维修
黑糊糊,黑黝黝
嵬峨,巍峨
万古长存,万古长青
噩梦,恶梦
忘恩负义,忘本负义
回响,回荡
物尽所值,物尽其用
函牍,文牍
浑浑沌沌,混混沌沌
无人不晓,闻名遐迩
妄图,盘算
危害,迫害
遏制,遏止
骈肩叠迹,骈肩累迹
害臊,怕羞
片时,片晌
回头,回来
好多,很多
害臊,害羞
凭空捏造,凭空杜撰
汗流接踵,汗流浃踵
活灵活现,活神活现
片时,片霎
威仪非凡,威风凛凛
华屋丘墟,华屋山丘
平稳,稳定
厚貌深情,外温内厚
攀高接贵,攀龙附凤
叛变,叛逆
围城打援,围魏救赵
横科暴敛,横赋暴敛
横殃飞祸,横祸飞灾
完好无损,完璧归赵
普及,普遍
诲奸导淫,诲淫诲道
恩断义绝,花残月缺
会集,汇合
望尘不及,望尘莫及
含垢忍辱,委曲求全
剖心析胆,剖心析肝
胡作乱为,胡作非为
花容月貌,花颜月貌
花消,花费
和顺,温和
疲乏,无力
芜杂,混乱
好看,排场
握云拿雾,握雾拿云
无济于事,画饼充饥
耳熟能详,耳闻则诵
后继无人,后继有人
无名之朴,无名之璞
旁征博引,旁求博考
抛荒,荒芜
怀孕,怀胎
无地自容,无处藏身
歪风邪气,歪门邪道
蓬荜有辉,蓬荜生辉
污浊,混浊
耳旁风,耳边风
瓮牖绳枢,蓬门荜户
偏爱,偏疼
黑漆漆,黑魆魆
欢呼雀跃,欢喜若狂
虎入羊群,狐入鸡舍
绘声写影,绘声绘影
评价,评估
平步青云,平步青霄
文君新寡,文君早寡
恩深义重,恩高义厚
和衣而卧,和衣而睡
黄发台背,黄发鲐背
无懈可乘,无隙可乘
好行小惠,好行小慧
二竖为灾,二竖为虐
滑稽,诙谐
闻风而动,闻风而逃
亡不旋跬,亡不旋踵
饿虎吞羊,饿虎扑食
望其肩项,望其肩背
品学兼优,文武双全
耳食之论,耳食之学
望女成凤,望子成龙
评断,评议
平地,平川
花园,花坛
汗如雨下,汗流夹背
威胁,威吓
片瓦不留,片甲不留
宏大,庞大
祸从天降,祸出不测
肮脏,龌龊
跑了和尚跑不了寺,跑了和尚跑不了庙
片甲不归,片甲不留
惟利是图,唯利是图
牝鸡司旦,牝鸡司鸣
五彩缤纷,五光十色
攀高结贵,攀龙附凤
宏大,弘大
何关,何干
忘乎所以,忘其所以
幻境,幻景
荒原,荒漠
问寒问暖,问长问短
胡涂,糊涂
回击,还击
片言只语,片言只字
歪心邪念,歪心邪意
疲钝,疲顿
惶惶,惶惑
王侯将相,王公贵族
荒唐,荒谬
伙伴,火伴
何必,何须
回想,回忆
网络,汇集
评价,评判
横冲直撞,横行无忌
亡国之声,亡国之音
无巧不成书,无巧不成话
蓬屋生辉,蓬荜生辉
物品,货色
威迫,威逼
昏庸,昏暴
飘荡,飘摇
恍恍惚惚,糊里糊涂
外洋,海外
闻风而动,闻风而起
画荻丸熊,画荻和丸
和睦,温馨
朋比为奸,朋比作奸
横冲直撞,横行霸道
厚彼薄此,厚此薄彼
后背,后面
望眼将穿,望穿秋水
平易近人,平易近民
荒淫无度,荒淫无度
乌灯黑火,黑灯瞎火
华丽,华贵
平安无事,平平安安
和蔼可亲,菩萨低眉
为富不仁,唯利是图
后来居上,后起之秀
祸患,祸殃
魂灵,魂魄
含垢忍辱,含垢包羞
无所不晓,无所不通
偏执,偏激
稳妥,稳当
胡说八道,胡说白道
文过饰非,怙恶不悛
哗啦啦,哗拉拉
好景不常,好景不长
胡卢提,葫芦提
沃田,沃畴
汪洋恣肆,汪洋自恣
文字,翰墨
活路,活门
崴蕤,葳蓁
怀铅握椠,怀铅提椠
二三其德,二三其意
活蹦乱跳,欢蹦乱跳
酣嬉淋漓,酣畅淋漓
纹丝不动,闻风不动
歪打正着,误打误撞
挥金如土,挥霍无度
晦暗,黑暗
无懈可击,无隙可乘
片甲不存,片甲无存
平白无故,平白无辜
含血喷人,恶语中伤
问这问那,问长问短
盘点,盘货
文过,怙恶不悛
品头论足,品头题足
剜肉医疮,挖肉补疮
海屋添筹,海屋筹添
宛如,彷佛
花天酒地,荒淫无道
含混,混沌
欢呼雀跃,欢欣鼓舞
蛾眉皓齿,蛾眉螓首
微不足道,微乎其微
违法,违纪
万事亨通,万事如意
黄钟毁弃,黄钟长弃
猬缩,畏惧
无所不为,无所不施
危如悬卵,危如累卵
海浪,海潮
红颜浅薄,红颜薄命
海中捞月,海底捞针
片刻,片霎
五花八门,五光十色
回文,回环
混蛋,王八蛋
沆瀣一气,狐群狗党
五颜六色,五色缤纷
鹤立鸡群,鹤行鸡群
顽皮贼骨,顽皮赖骨
患难与共,患难之交
飘茵落溷,飘茵堕溷
花样,花招
忽略,纰漏
问安视寝,问寝视膳
文书,文告
万世之师,万世师表
惠临,惠顾
披肝露胆,披露肝胆
拍案叫绝,拍桌惊叹
欢跃,欢腾
蔚成风气,蔚然成风
牝鸡晨鸣,牝鸡牡鸣
无忧无虑,无虑无忧
豪放,豪爽
无可置疑,无可争辩
唯我独尊,妄自尊大
狠劲,玩命
味同嚼蜡,平淡无味
浩大,伟大
恩威并用,威德兼施
绘身绘色,活龙活现
烘托,陪衬
无极,混沌
弯曲,盘曲
无功受禄,无功而禄
横暴,狠恶
悔不当初,悔之不及
无与伦比,无与类比
哄堂大笑,捧腹大笑
邯郸学步,邯郸重步
婚姻,婚配
屏蔽,屏障
宏壮,伟大
还朴反古,还淳返朴
欢天喜地,欢欣鼓舞
瓦解,破裂
河鱼腹疾,跑肚拉稀
豁然大悟,豁然开悟
培养,培育
无计可奈,无计奈何
蛙鸣蚓叫,蛙鸣鸱叫
危言耸听,骇人闻听
排斥异己,排除异己
后代,后辈
花样繁多,花样翻新
偏护,回护
豁然大悟,晃然大悟
黑乎乎,黑魆魆
会聚,汇注
好友,朋友
虎落平川,虎落平阳
含笑九泉,含笑入地
攀援,攀附
含蓄,婉转
烹调,烹饪
轰隆,霹雳
好似,好比
娓娓动听,娓娓道来
徘徊,盘桓
攀登,攀高
怀金拖紫,怀黄佩紫
畏羞,害羞
污浊,浑浊
判断,剖断
外观,外貌
骈首就系,骈首就逮
万古长春,万古长青
武器,火器
枉口拔舌,枉口诳舌
肮脏,污秽
合手,握
扞卫,护卫
无丝有线,无私有弊
偏爱,偏幸
好梦难圆,好梦难成
忽略,无视
会面,碰面
横亘,横跨
和议,和谈
望风而靡,望风披靡
无远不届,无远弗届
洪水,洪流
涸辙之鱼,涸辙之鲋
回首,回顾
威胁利诱,威逼利诱
无人不晓,赫赫有名
五内如焚,五内如裂
无孔不入,无空不入
无穷,无尽
片言只语,片纸只字
混淆,混浊
纨绔子弟,花花公子
寒耕暑耘,寒耕热耘
外观,外面
火急,遑急
贫瘠,贫饔
无冬无夏,无间冬夏
委屈,委曲
频仍,频繁
饿殍遍野,饿莩遍野
呼唤,呼喊
盘石之安,磐石之安
文武兼备,文武兼资
渭阳之思,渭阳之情
万人空巷,万头攒动
河干,河畔
后进,晚生
委以心腹,披肝沥胆
幻想,妄想
文坛,文学界
合意,合适
磐石之固,磐石之安
万箭攒心,五内俱焚
忽地,忽地
含羞,怕羞
尔后,而后
含情脉脉,温情脉脉
回天乏术,回天无力
为虎作伥,为虎傅翼
耳顺之年,花甲之年
恍然大悟,豁然贯通
而已,汉典
外售,外销
恶疾,顽疾
邯郸匍匐,邯郸重步
判定,剖断
旁若无人,妄自尊大
派别,派系
片瓦不留,片瓦不存
问安,问好
披星戴月,披星带月
文章山斗,文章巨公
含垢忍污,含垢忍耻
无限,无尽
望而却步,望而生畏
攀爬,攀缘
飘扬,飘零
拼命,拼死
王冠,皇冠
欢欣,欢喜
汗牛充栋,汗牛塞屋
怀宝迷邦,怀道迷邦
为德不卒,为德不终
万古流芳,万古留芳
危机,危险
挽回,挽救
厄运,恶运
黑呼呼,黑洞洞
平易,平和
换取,换得
批判,批驳
碰劲,碰巧
彷徨,盘桓
外表,外貌
忘却,忘怀
外刚内柔,外强中干
恨相知晚,恨相见晚
偏心,偏幸
文章山斗,文章魁首
华丽,豪华
合上,合拢
恩深义重,恩重如山
无为而治,无为自化
核对,核查
滂沱,滂湃
片瓦无存,片瓦不存
五洲四海,五湖四海
万众一心,万全之策
万念俱灰,灰心丧气
漂荡,飘动
横行不法,横行霸道
罕有,罕见
无计所奈,无计奈何
外圆内方,外柔内刚
悔之晚矣,悔之不及
滑溜,滑熘
片甲不归,片甲不回
温席扇枕,温枕扇席
娉娉袅袅,娉婷袅娜
昏迷,昏厥
碰壁,碰鼻
豪宕,豪迈
潢池弄兵,潢池盗弄
晃悠,晃荡
握素怀铅,握素披黄
寒噤,寒战
怀金垂紫,怀黄佩紫
魂亡胆落,魂飞魄散
昊天罔极,恩重如山
虎穴龙潭,虎窟龙潭
抛清,撇清
河滨,河边
化妆,化装
牝鸡司旦,牝鸡司晨
横行直撞,横行直走
无伤大体,无关宏旨
偏向,偏袒
无理取闹,无风作浪
判若鸿沟,判若天渊
怀念,怀恋
患难与共,患难相扶
妄生穿凿,望文生义
文件,文献
豪放不羁,豪迈不羁
胡言乱道,胡言汉语
孩子,孩童
坏人,恶徒
饿虎扑羊,饿虎见羊
委实,委的
盘川,盘费
含冤莫白,含冤负屈
无中生有,胡言乱语
耳鬓厮磨,花前月下
后果,恶果
未尝,未曾
含蓄,涵蓄
排忧解难,排难解纷
剜肉做疮,剜肉成疮
铺张扬厉,铺排张扬
评论,评述
混淆是非,混淆视听
黑天墨地,黑天摸地
五尺之童,五尺之僮
呼噪,哗闹
恩将仇报,忘本负义
横眉冷目,横眉努目
画蛇添足,画蛇著足
盘考,盘问
蓬筚生辉,蓬闾生辉
萎缩,萎缩
含辛茹苦,披荆斩棘
无立足之地,无立锥之地
飘泊无定,飘蓬断梗
破坏,毁坏
凭单,凭据
歪缠,胡闹
枉费心思,枉费心力
无源之水,无米之炊
蓬首垢面,蓬头垢面
谎言,坏话
合伙,合股
悔恨,后悔
品德,品格
饿虎擒羊,饿虎攒羊
破瓦寒窑,蓬门荜户
鸿篇钜制,鸿篇巨著
好运,红运
毁掉,毁灭
万人攒动,万头攒动
飘籓坠溷,飘茵堕溷
匹配,完婚
外江人,外江佬
匹夫匹妇,平民百姓
碰头,碰面
旁推侧引,旁敲侧击
万紫千红,花团锦簇
破碎,破灭
悍妇,泼妇
火耕水耨,火耕流种
豪放,宏放
排解,斡旋
晚点,误点
五尺竖子,五尺童子
含混,含糊
怀真抱素,怀质抱真
黑白混淆,混淆黑白
伟岸,巍峨
河东狮吼,河东狮子吼
微言大义,微言精义
贰心,外心
无中生有,无事生非
虎体熊腰,虎背熊腰
弯曲,宛延
混名,诨名
为民除害,为民除患
荒无人烟,无人之境
含笑,微笑
芜秽,荒疏
违抗,违犯
无往不克,无往不胜
宏愿,弘愿
海水不可斗量,海水难量
贫窭,贫困
横亘,横贯
无可厚非,未可厚非
破晓,黄昏
爬梳剔抉,爬罗剔抉
疲乏不堪,疲惫不堪
孩子,儿童
稳操胜券,瓮中捉鳖
鸿毛泰山,鸿毛泰岱
唯一,唯独
望衡对宇,衡宇相望
平心易气,平心静气
朴实无华,朴素无华
欢欣若狂,欢喜若狂
慌慌张张,慌手慌脚
呼天唤地,嚎天动地
品茗,喝茶
违令,违命
恶浊,污秽
无用,无谓
万夫不当之勇,万夫不当
位子,位置
攀花折柳,攀花问柳
炮凤烹龙,烹龙炮凤
河床,河道
排出,排斥
外厉内荏,外强中瘠
祸福由人,祸福无门
劈面,扑面
未焚徙薪,未雨绸缪
二八佳人,二八女郎
混同,混杂
扑素,朴质
恶衣菲食,恶衣蔬食
徘徊,徬徨
平淡,平平
俳谐,诙谐
昏惨剌,昏惨惨
邯郸学步,枉辔学步
火耕水种,火耕流种
晚辈,晚进
枉费口舌,枉费唇舌
和好,和洽
卫兵,卫士
悔过自新,悔过自责
为虎添翼,为虎傅翼
回响,回声
完毕,完成
疲倦,疲顿
哄堂大笑,烘堂大笑
和风,微风
平平淡淡,平平常常
惟上是从,惟命是从
万象更新,耳目一新
嚎天喊地,嚎天动地
皇皇不可终日,闻风丧胆
芜杂,紊乱
何啻,何止
望岫息心,望峰息心
盼愿,盼望
会合,汇合
回旋,回荡
好行小惠,好施小慧
亡在旦夕,危在旦夕
万全之计,万全之策
剜肉做疮,剜肉生疮
河鱼腹疾,河鱼之疾
披心沥血,披肝沥血
俄顷,片晌
判断,判决
黄袍加体,黄袍加身
后继无人,后继乏人
号啕,嚎啕
排沙简金,排沙见金
魂飞天外,魄散九霄
回乡,还乡
平整,平展
坏心,恶意
妄言妄语,胡言乱语
昏黄,黄晕
寒噤,寒颤
婉言,婉词
蓬门筚户,衡门圭窦
河伯,河神
外号,花名
万般无奈,无能为力
鸿泥雪爪,鸿爪留泥
挥沐吐餐,握发吐哺
剖析,剖判
无一不知,无所不知
文以明道,文以载道
劈头,劈脸
花消,破费
后顾之忧,黄雀在后
威势赫赫,威风凛凛
无可厚非,无可非议
呼朋引类,呼群结党
合资,合股
横眉怒视,横眉努目
脾性,脾气
外型,外延
无垠,无际
无精打彩,灰心丧气
划粥割齑,划粥而食
祸从口出,祸发齿牙
海不扬波,海不波溢
宦海浮沉,宦海风波
饿殍遍野,饿殍枕藉
闻风远扬,闻风而起
匹夫怀璧,怀璧其罪
怀金垂紫,怀银纡紫
枉顾,枉驾
破旧不堪,破烂不堪
回收,回笼
怦怦直跳,怦然心动
五色斑斓,五色缤纷
回拜,回访
片言之语,片纸只字
喝彩,欢呼
外表,外在
膨大,膨胀
偏向,偏差
呼天抢地,嚎啕大哭
稳固,稳定
晃动,晃荡
哄人,骗人
扑灭,毁灭
环绕,盘绕
文不加点,文无加点
好善嫉恶,好善恶恶
武士,武夫
碰壁,碰钉子
回归,回来
好大喜功,好高骛远
回击,回手
海角天涯,海角天隅
皓齿娥眉,皓齿蛾眉
无孔不入,无孔不钻
活扣,活结
横行直撞,横冲直闯
无恶不造,无恶不作
平均,平衡
慰劳,慰问
判若鸿沟,判若两人
文雅,文静
瞟见,瞥见
浑金璞玉,浑金白玉
话中有话,话里有话
花晨月夕,花朝月夕
恶衣粗食,恶衣粝食
旁搜博采,旁收博采
蜿蜒,逶迤
花园,花圃
平素,平日
凭证,凭据
瓦缶雷鸣,黄钟长弃
彭湃,澎湃
后患无穷,祸不单行
悔怨,后悔
歪七扭八,歪歪扭扭
披览,披阅
后人,后人
刎颈之交,患难之交
平平稳稳,稳稳当当
回礼,还礼
吼叫,呼啸
万籁俱寂,万籁无声
怀宝迷邦,怀才不遇
耳听八方,耳听八方
慌里慌张,慌手慌脚
无理取闹,无风起浪
婚丧喜事,红白喜事
聘任,聘请
贫寒,贫困
狠劲,狠命
亡立锥之地,无立锥之地
万死一生,危于累卵
汗流至踵,汗流浃踵
皮开肉绽,皮伤肉绽
温柔,温雅
文人,文士
旺盛,焕发
为所欲为,惟所欲为
忽地,忽然
纹丝不动,文风不动
平时,往常
平心定气,平心静气
外套,外衣
疲倦,委顿
横祸非灾,横祸飞灾
昏倒,昏厥
帷幕不修,帷薄不修
泼皮,混混
吴市之箫,吴市吹箫
横眉怒视,横眉立目
文人墨客,文人学士
含苞欲放,含羞待放
平允,平正
画地为牢,画地为狱
无边无际,无穷无尽
尾大不掉,尾大难掉
外助,外援
火上加油,泼油救火
火把,火炬
哗世取宠,哗众取宠
鸿爪雪泥,鸿飞雪爪
披枷带锁,披枷戴锁
骈肩叠迹,骈肩接迹
哄动一时,轰动一时
盘查,盘诘
判若黑白,黑白分明
而后,而后
壶中日月,壶天日月
排演,排练
污物,秽物
后浪催前浪,后浪推前浪
含沙射影,恶语中伤
培养,培植
荒野,荒漠
华而不实,好高鹜远
或者,或许
贫困潦倒,贫穷潦倒
无与伦比,无可比拟
后悔莫及,悔过自责
后悔不迭,后悔不及
宏儒硕学,鸿儒硕学
化为乌有,涣然冰释
何足挂齿,无足挂齿
望洋兴叹,望洋而叹
合两为一,合二为一
浑厚,浑朴
盘木朽株,蟠木朽株
破旧,破烂
刎颈之交,刎颈至交
牝鸡无晨,牝鸡司晨
铺张扬厉,铺张浪费
无懈可击,无际可寻
化险为夷,虎口脱险
网开一面,网开三面
贫嘴薄舌,贫嘴贱舌
坏处,害处
万种,万般
爬梳剔抉,爬梳洗剔
望文生训,望文生义
挥之即去,麾之即去
坏法乱纪,违法乱纪
号叫,嗥叫
万籁俱寂,万马齐喑
唯利是从,唯利是求
文文莫莫,雾里看花
叛变,叛乱
披沥肝胆,披沥肝膈
蛾翠,蛾黛
号令,呼吁
汗马之劳,汗马功劳
无如之何,无如之奈
无挂无碍,无牵无挂
无何有之乡,无何有乡
违章,违纪
航线,航路
外相,皮毛
海枯石烂,海誓山盟
望尘不及,望尘靡及
文房四士,文房四物
扼腕叹息,扼腕长叹
焊合,焊接
好学不倦,好学不厌
回复,恢复
挥霍,耗费
耳提面命,诲人不倦
后台,后盾
披毛求瑕,批毛求疵
何以,为何
毗连,毗邻
或然,或许
呼朋引类,呼朋唤友
无须,毋庸
幻梦,幻景
涣若冰消,涣然冰释
完善,完满
尾生丧身,尾生抱柱
王公贵戚,王孙贵戚
五谷丰熟,五谷丰登
幻梦成空,海市蜃楼
遏制,扼制
委宛,宛转
配偶,配头
庞眉皓发,庞眉皓首
扼腕叹气,扼腕长叹
攀藤揽葛,攀藤附葛
未尝,未始
闻所不闻,闻所未闻
好心,好意
涸鱼得水,涸鲋得水
混水捞鱼,混水摸鱼
黄齑淡饭,黄齑白饭
舞动,挥舞
无赖,恶棍
评头论脚,评头品足
华文,汉文
危若累卵,危在旦夕
皮破血流,皮破肉烂
飘萍断梗,飘蓬断梗
划算,合算
华亭鹤唳,鹤唳华亭
换取,互换
嚎叫,嗥叫
威信扫地,威风扫地
破矩为圜,破觚为圜
会心,会意
耗损,耗费
闻名天下,闻名遐迩
彭胀,膨胀
混俗和光,浑俗和光
何必,何苦
浩繁,浩瀚
旁若无人,惟我独尊
虎口拔牙,火中取栗
厚道,憨厚
火急,火速
挽回,盘旋
获取,获得
和风细雨,和颜悦色
判词,判语
忘年之交,忘年之好
会心,会议
乌龟,王八
排沙简金,披沙拣金
稳操胜券,万无一失
荒诞无稽,荒谬不经
为人作嫁,为渊驱鱼
品味,回味
伟岸,嵬巍
额手称庆,额手称颂
胡诌乱傍,胡诌乱道
威声,威望
违反,违背
万古长存,万古千秋
